Project_Name,Owner,Developer,Address,Zip_Code,Council_District,Kirwan_Opportunity_Index,Distance_to_Bus_Stop,Total_Units,Total_Affordable_Units,Unit_Type,Program,Housing_Type,Status,Affordability_Start_Date,Affordability_Period,Affordability_Expiration_Date,Certification_Date,C._of_O._Date,Required_Amount_of_Fee_in_Lieu,Date_Fee_in_Lieu_Received,Market_Rate_Units,City_Funded_Amount,%_of_Funds_Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
Green Doors - Dessau Road,Green Doors,Green Doors,10620 Dessau Road,78754,1,Moderate,Neither,60,60,Single Family,Developer Incentive,Rental,Project Cancelled,,5,12/31/99 0:00,12/7/11,,,,0,,,No,No,No,No,No,No,Yes,No,No,No,"(30.364643999999998, -97.668583999999996)"
Rosewood Anointed Acres,Rosewood Anointed Acres LP,Rosewood Anointed Acres LP,2604 Rosewood Avenue,78702,1,Very Low,1/4 Mile,80,72,Multifamily,Developer Incentive,Rental,Project Cancelled,,5,,1/5/12,,,,8,,,No,No,No,No,No,No,Yes,No,No,No,"(30.272967000000001, -97.706062000000003)"
The Nine at Austin,Scannell Development Company,Scannell Development Company,2518 Leon Street,78705,9,Very High,1/4 Mile,98,10,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,12/31/99 0:00,4/25/16,,$0.00 ,,88,,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290996, -97.749341999999999)"
1910 Salina Street,Blackland Community Development Corporation,Blackland Community Development Corporation,1910 Salina Street,78702,1,,1/2 Mile,1,1,ADU,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,6/29/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.280408999999999, -97.722663999999995)"
2106 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,2106 Chicon Street,78702,1,Moderate,1/4 Mile,1,1,ADU,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,6/29/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.282350999999998, -97.722075000000004)"
2203 Salina Street Secondary Apartment,Blackland Community Development Corporation,Blackland Community Development Corporation,2203 Salina Street,78702,1,Moderate,1/4 Mile,1,1,ADU,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,7/20/15,,$0.00 ,,0,$0.00 ,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.282975, -97.722734000000003)"
Colorado Creek 1 & 2,GCRE/TX Austin Master LLC,GCRE/TX Austin Master LLC,Fallwell Lane,,2,Very Low,Neither,650,240,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,8/27/16,,$0.00 ,,410,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.205643999999999, -97.633932000000001)"
1211 Inks Avenue,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1211 Inks Avenue,78702,1,,Neither,2,2,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,4/28/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.265969999999999, -97.727997999999999)"
Villas at Vinson Oak,Notigius LLC,Notigius LLC,4507 Vinson Drive,78745,3,,1/2 Mile,20,8,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,4/21/16,,$0.00 ,,12,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.220675, -97.777327)"
Saltillo Studios,Austin Habitat for Humanity,Austin Habitat for Humanity,1409 E 4th Street,78702,3,Very Low,1/4 Mile,30,21,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,4/12/16,,$0.00 ,,9,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.261610999999998, -97.728744000000006)"
Muskin Company (RMMA),Muskin Company,Muskin Company,4601 Camacho Street,78723,9,Moderate,1/2 Mile,5,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,3/21/16,,$0.00 ,,4,$0.00 ,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.295912999999999, -97.700839999999999)"
David Weekly Section IX (RMMA),David Weekly Homes,David Weekly Homes,Robert Browning Street,78723,9,,Neither,169,42,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,3/10/16,,$0.00 ,,127,$0.00 ,,No,No,No,Yes,No,No,Yes,No,No,No,
Centerra Homes of Texas LLC - Goodnight Ranch PUD,"Bradsher Family Trust and MVE Ventures, LTD",Momark Development LLC,Corrine Lane,78747,2,,Neither,58,23,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,3/7/16,,$0.00 ,,35,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,
Centerra Homes (RMMA),"Centerra Homes of Texas, LLC",Centerra Homes,2400 Robert Browning Street,78723,9,Moderate,1/4 Mile,10,3,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,2/1/16,,$0.00 ,,7,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.298850000000002, -97.700574000000003)"
Summit Oaks,Housing Authority of Travis County,Housing Authority of Travis County,11607 Sierra Nevada,78759,10,Moderate,1/2 Mile,24,24,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,2/23/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.421088999999998, -97.755089999999996)"
Alexander Oaks Apartments,Housing Authority of Travis County,Housing Authority of Travis County,6119 Valiant Circle,78749,8,High,1/4 Mile,51,51,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,2/23/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.233792999999999, -97.851946999999996)"
Avon at 22nd,"Allada UNO, LLC","Allada UNO, LLC",911 W 22nd Street,78705,9,High,1/4 Mile,22,2,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,2/9/16,,$0.00 ,,20,$0.00 ,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.285402999999999, -97.747712000000007)"
2502 Nueces Street,"Lincoln Ventures, LLC","Lincoln Ventures, LLC",2502 Nueces Street,78705,9,Very High,1/4 Mile,46,5,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,2/3/16,,Outstanding,,41,$0.00 ,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289642000000001, -97.743337999999994)"
Aspen West Campus,Aspen Heights,Aspen Heights,1909 Rio Grande Street,78705,9,Very High,1/4 Mile,464,47,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,2/23/16,,Outstanding,,417,$0.00 ,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.283588999999999, -97.744782999999998)"
The Aviary,"Equitable Green Group, Inc","Equitable Green Group, Inc",6019 Hudson Street,78721,1,Very Low,Neither,12,12,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/28/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.269338999999999, -97.670629000000005)"
Elysium Park,"Saigebrook Development, LLC","Saigebrook Development, LLC",3400 Oak Creek Drive,78727,7,Very High,Neither,98,83,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/15/16,,$0.00 ,,15,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.426898999999999, -97.704729999999998)"
Bridge at Cameron,"LDG Multifamily, LLC",LDG Multifamily LLC,9201 Cameron Road,78754,1,Moderate,1/4 Mile,263,263,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,1/7/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.348196000000002, -97.675520000000006)"
Z-Lofts,Metrohill Enterprises LLC,Metrohill Enterprises LLC,5612 Springdale Road,78723,1,Very Low,1/4 Mile,74,7,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,12/17/15,,$0.00 ,,67,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.299948000000001, -97.673574000000002)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78724,1,Very Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,6/14/13,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.300813999999999, -97.640101000000001)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78741,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,6/14/13,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.230930000000001, -97.702275999999998)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,,3,Very Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,11/28/16 0:00,1,11/28/17 0:00,6/14/13,11/28/16,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.220751, -97.736633999999995)"
Works at Pleasant Valley - Phase II,Lifeworks Affordable Housing Corporation,Lifeworks Affordable Housing Corporation,835 N Pleasant Valley Road,78702,3,Very Low,1/4 Mile,29,29,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,10/22/15,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.264720000000001, -97.707279)"
Austin Habitat for Humanity - SF,Austin Habitat for Humanity,Austin Habitat for Humanity,Undisclosed,78741,3,Very Low,1/4 Mile,6,6,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,11/25/15,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.234559999999998, -97.697049000000007)"
Villages at Fiskville,"LDG Multifamily, LLC",LDG Multifamily LLC,10017 Middle Fiskville Road,78753,4,Low,Neither,172,172,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/16/15,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.364435, -97.681343999999996)"
2203 Salina Street Rehab,Blackland Community Development Corporation,Blackland Community Development Corporation,2203 Salina Street,78722,1,Moderate,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,,,,11/2/15,,$0.00 ,,0,"$150,095.00 ",297.26%,No,No,No,No,No,No,Yes,No,No,No,"(30.282993000000001, -97.722755000000006)"
Booth Village Apartments,Salvation Army,Salvation Army,Radam Lane,,3,,Neither,40,40,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/3/15,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,
Kasita Homeless Veteran Housing,"Kasita GL, LLC","Kasita GL, LLC",1304 E 4th Street,78702,3,Very Low,1/4 Mile,21,21,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,10/29/15,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.262336999999999, -97.729742999999999)"
The Rail @ MLK,1800 Alexander LP,1800 Alexander LP,1800 Alexander Avenue,78702,1,Moderate,1/4 Mile,225,58,Multifamily,RHDA,Rental,Project Certified / Loan Executed,,99,,10/29/15,,$0.00 ,,167,"$2,500,000.00 ",1300%,No,No,No,No,No,No,Yes,No,No,No,"(30.279916, -97.709361999999999)"
Gaston Tract,Bill Gaston Inc.,Bill Gaston Inc.,2501 W Braker Lane,78758,4,Moderate,1/2 Mile,423,14,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,7/2/15,,$0.00 ,,409,$0.00 ,,No,No,No,No,Yes,No,Yes,No,No,No,"(30.389516, -97.718506000000005)"
RMMA VII-C Phase I,"Standard Pacific of Texas, L.P.",Standard Pacific of Texas,4200 Nitchke Street,78723,9,Moderate,1/2 Mile,57,13,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,8/25/14,,$0.00 ,,44,$0.00 ,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.293977999999999, -97.706963999999999)"
GNDC - SF,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,Undisclosed,78702,1,Low,1/4 Mile,2,2,Duplex,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,2/3/14,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.265453000000001, -97.728499999999997)"
The Chicon (aka 'Chicon Corridor'),Chestnut Neighborhood Revitalization Corporation,Chestnut Neighborhood Revitalization Corporation,1301 Chicon Street,78702,1,Very Low,1/4 Mile,13,10,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,5,,9/26/11,,$0.00 ,,3,"$3,962,717.00 ",260.57%,No,No,No,No,No,No,Yes,No,No,Yes,"(30.275031999999999, -97.719823000000005)"
Garden Terrace Phase III,"Foundation Communities, Inc.","Foundation Communities, Inc.",1015 W William Cannon Drive,78745,5,Low,Neither,20,20,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,,5,,6/13/13,,$0.00 ,,0,"$1,376,070.00 ",0%,No,No,No,No,No,No,Yes,No,No,No,"(30.198405999999999, -97.792918999999998)"
Goodwin Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,2/17/15 0:00,1,2/17/16 0:00,6/10/13,2/17/15,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.268934000000002, -97.699432000000002)"
Goodwin Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,3305 Goodwin Avenue,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,2/17/15 0:00,1,2/17/16 0:00,6/10/13,2/17/15,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.268875000000001, -97.699325999999999)"
Goodwin Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,3307 Goodwin Avenue,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,2/17/15 0:00,1,2/17/16 0:00,6/10/13,2/17/15,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.268823999999999, -97.699100999999999)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78702,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,4/1/14 0:00,1,4/1/15 0:00,9/6/12,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.270019000000001, -97.726577000000006)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78721,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,6/3/15 0:00,1,6/3/16 0:00,7/23/12,6/3/15,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.274999999999999, -97.689042000000001)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78741,3,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,7/22/14 0:00,1,7/22/15 0:00,7/23/12,7/22/14,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.240207999999999, -97.694157000000004)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78724,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,3/13/13 0:00,1,3/13/14 0:00,7/23/12,3/13/13,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.300716000000001, -97.640624000000003)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,403 Tilbury Lane,78745,3,Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,3/20/13 0:00,1,3/20/14 0:00,7/23/12,3/20/13,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.209648999999999, -97.766461000000007)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,Undisclosed,78721,1,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,8/15/13 0:00,1,8/15/14 0:00,7/23/12,8/15/13,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.274812000000001, -97.686345000000003)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,1012 Linden Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,6/28/15 0:00,1,6/28/16 0:00,2/25/08,6/28/15,$0.00 ,,0,$0.00 ,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.264831999999998, -97.705157)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,1014 Linden Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,6/28/15 0:00,1,6/28/16 0:00,2/25/08,6/28/15,$0.00 ,,0,$0.00 ,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.264869000000001, -97.705222000000006)"
Linden Lots,Austin Housing Finance Corporation,Austin Housing Finance Corporation,1016 Linden Street,78702,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,6/28/16 0:00,1,6/28/17 0:00,2/25/08,6/28/16,$0.00 ,,0,$0.00 ,,Yes,No,No,No,No,No,Yes,No,No,No,"(30.264876999999998, -97.705201000000002)"
The Grove Lofts,"Continental Homes of Texas, LP","Continental Homes of Texas, LP",2301 Grove Boulevard,78741,3,Low,1/4 Mile,160,64,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,5,,8/8/05,,$0.00 ,,96,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.223744, -97.708360999999996)"
Cobalt Wilson Street,"Cobalt Partners, Ltd.",Cobalt - Wilson Street,2606 Wilson Street,78704,3,Very Low,1/4 Mile,62,6,Multifamily,Developer Incentive,Ownership,Affordability Period Expired,5/16/13 0:00,1,5/16/14 0:00,3/26/07,5/16/13,$0.00 ,,56,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.237684999999999, -97.758928999999995)"
Clawson Multifamily,Clawson Partners Mgmt,Clawson Partners Mgmt,3608 Clawson Road,78704,5,Very Low,1/2 Mile,39,2,Multifamily,Developer Incentive,Ownership,Project Cancelled,,1,,9/5/12,,$0.00 ,,37,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.233736, -97.780676999999997)"
Colony Park (PUD),Austin Housing Finance Corporation,Austin Housing Finance Corporation,,,,,Neither,3031,606,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,4/30/14,,$0.00 ,,2425,$0.00 ,,No,No,No,No,No,Yes,Yes,No,No,No,
Studio East,Transwestern,Transwestern,1630 E 6th Street,78702,3,Very Low,1/4 Mile,139,15,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,8/1/16,,$0.00 ,,124,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,"(30.262478999999999, -97.724863999999997)"
Harris Ridge Apt,"The NRP Group, LLC","The NRP Group, LLC",13414 Harrisglenn Drive,78754,7,,Neither,324,324,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,11/7/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.406351000000001, -97.643651000000006)"
1703 E 22nd St,Blackland Community Development Corporation,Blackland Community Development Corporation,1703 E 22nd Street,78722,1,Moderate,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,8/9/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.282274999999998, -97.723380000000006)"
Easton Park (Pilot Knob PUD),Carma Easton LLC,Carma Easton LLC,,,2,Very Low,Neither,3000,300,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/25/15,,$0.00 ,,2700,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,
Cesar Chavez Foundation - Govalle Terrace (ThinkEast PUD),ThinkEast Austin MGT,ThinkEast Austin MGT,1141 Shady Lane,78721,3,Very Low,1/2 Mile,97,78,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,10,,8/11/16,,$0.00 ,,19,$0.00 ,,No,No,No,No,No,Yes,Yes,No,No,No,"(30.262599999999999, -97.690776)"
Austin Gardens,Interlocal Investment,Interlocal Investment,Hudson St and Harold Court,78721,1,,1/2 Mile,34,4,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,8/11/16,,$0.00 ,,30,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.272109, -97.677476999999996)"
CalAtlantic Homes- Section 9 (RMMA),CalAtlantic Homes,CalAtlantic Homes,4201 Berkman Drive,78723,9,Moderate,1/2 Mile,163,60,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,8/15/16,,$0.00 ,,103,$0.00 ,,No,No,No,Yes,No,No,Yes,No,No,No,"(30.295670999999999, -97.700260999999998)"
Easton Park (Pilot Knob PUD),Carma Easton LLC,Carma Easton LLC,,,2,Very Low,Neither,6417,650,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,5,,12/22/15,,$0.00 ,,5767,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,
Lamar Flats,"SL South Lamar, LP","SL South Lamar, LP",3607 S Lamar Boulevard,78704,5,Moderate,1/4 Mile,308,31,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,12/31/99 0:00,6/17/15,,$0.00 ,,277,$0.00 ,,No,No,No,No,No,No,No,No,No,Yes,"(30.238968, -97.787767000000002)"
The Guild,Sunil Lavani,Sunil Lavani,2804 S 1st Street,78704,3,Very Low,1/4 Mile,15,2,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,99,,10/8/15,,$0.00 ,,13,$0.00 ,,No,No,No,No,No,No,No,No,No,Yes,"(30.237157, -97.763105999999993)"
6500 Burnet Apartments,11th & Grand LLC,11th & Grand LLC,6500 Burnet Road,78757,7,Very High,1/4 Mile,52,5,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,9/15/15,,$0.00 ,,47,$0.00 ,,No,No,No,No,No,No,No,No,No,Yes,"(30.340945000000001, -97.739348000000007)"
Highland Mall Multi-Family,Greystar,Greystar,5901 Airport Boulevard,78752,4,Very Low,1/4 Mile,309,31,Multifamily,Developer Incentive,Rental,Site Plan Approved / Project Underway,,40,,6/17/15,,$0.00 ,,278,$0.00 ,,No,No,No,No,No,No,No,No,No,Yes,"(30.326874, -97.715995000000007)"
901 East 6th,"Osten Hall, LLC","Osten Hall, LLC",901 E 6th Street,78702,3,Very Low,1/4 Mile,0,0,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,"(30.265045000000001, -97.733138999999994)"
Plaza Saltillo,,Endeavor Real Estate Group,,,,,Neither,0,0,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,
Mark Hart Architecture,,Mark Hart Architecture,1212 E 7th Street,78702,1,Low,1/4 Mile,0,0,Multifamily,Developer Incentive,Rental,Application Received / Under Review,,0,,,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,"(30.265108000000001, -97.729398000000003)"
Cielo - Plaza Saltillo,CC Third and Comal LP,CC Third and Comal LP,310 Comal Street,78702,3,Very Low,1/4 Mile,17,1,Multifamily,Developer Incentive,Ownership,Application Received / Under Review,,99,,,,"$93,192.00 ",,16,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,"(30.261042, -97.727975000000001)"
East 12th Street Lofts,"San Antonio Dream Homes, LLC","San Antonio Dream Homes, LLC",2724 E 12th Street,78702,1,Very Low,1/4 Mile,30,6,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,99,,4/21/16,,$0.00 ,,24,$0.00 ,,No,No,No,No,No,No,No,Yes,No,No,"(30.275147, -97.711066000000002)"
900 South 1st Condos,PSW 900 Eastline LP,PSW 900 Eastline LP,900 S 1st Street,78704,9,Very Low,1/4 Mile,69,7,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,99,,8/31/16,,$0.00 ,,62,$0.00 ,,No,No,No,No,No,No,No,No,No,Yes,"(30.254740999999999, -97.752302)"
Pacesetter Homes - Section 1A,Carma Easton LLC,Carma Easton LLC,,,,Very Low,Neither,27,0,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,0,,8/23/16,,$0.00 ,,27,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,
South Shore Disctrict Apartments (South Shore PUD),Grayco Town Lake Investment 2007 L.P.,Grayco Partners,1333 Shore District Drive,78741,4,Low,1/4 Mile,500,13,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,4/16/14 0:00,40,4/16/54 0:00,12/17/09,4/16/14,"$2,038,666.00 ",,487,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.243504999999999, -97.727182999999997)"
Sunfield PUD,,"A&M Option 541, LP",1901 Turnersville Road,78610,,Very Low,Neither,1751,175,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,,,$0.00 ,,1576,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.088615000000001, -97.773263999999998)"
Heights on Parmer Phase Two,"Pedcor Investments-2016-CLVIII, LP","Pedcor Investments-2016-CLVIII, LP",1524 Parmer Lane,78753,7,,Neither,80,80,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,8/25/16,,$0.00 ,,0,$0.00 ,,No,No,No,No,No,No,Yes,No,No,No,"(30.389023000000002, -97.651359999999997)"
Sunfield PUD,,"A&M Option 541, LP",1901 Turnersville Road,,78610,Very Low,Neither,1165,117,Single Family,Developer Incentive,Ownership,Project Certified / Loan Executed,,40,,,,$0.00 ,,1048,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.088729000000001, -97.773354999999995)"
Broadstone at the Lake,"Alliance Residential Holdings, LLC",Bury & Partners,422 W Riverside Drive,78704,9,Very Low,1/4 Mile,240,0,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,,0,,,,"$23,250.60 ",7/10/15 0:00,240,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.259685000000001, -97.748746999999995)"
Estancia Hill Country PUD,SLF III Onion Creek LP,"Estancia Villas, LLC",12814 IH-35 S,78652,,High,Neither,741,74,Multifamily,Developer Incentive,Rental,Site Plan Approved / Project Underway,,40,,,,$0.00 ,,667,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.115791999999999, -97.806038999999998)"
Estancia Hill Country PUD,SLF III Onion Creek LP,"Estancia Villas, LLC",12814 IH-35 S,78652,5,High,Neither,1550,155,Single Family,Developer Incentive,Ownership,Site Plan Approved / Project Underway,,40,,,,$0.00 ,,1395,$0.00 ,,No,No,No,No,No,Yes,No,No,No,No,"(30.115727, -97.805985000000007)"
